text,label
Win money now!!!,spam
Limited time offer just for you,spam
Congratulations! You won a lottery,spam
Free recharge available,spam
Earn cash quickly at home,spam
Click this link to claim prize,spam
Urgent! Your account is blocked,spam
Exclusive deal only today,spam
Get rich fast scheme,spam
You have been selected!,spam
Call me later,ham
Are you coming today?,ham
Let's meet tomorrow,ham
How are you doing?,ham
See you at college,ham
Can we talk now?,ham
Meeting at 5 pm,ham
Lunch today?,ham
Where are you?,ham
Don't forget assignment,ham
Good morning,ham
Please send notes,ham
Project submission tomorrow,ham
Thanks for your help,ham
Let's go out this weekend,ham
